bookstore,date,ranking,title,writer,press,category
KYOBO,2024-01,30,세상은 이야기로 만들어졌다,자미라 엘 우아실 외,원더박스,인문
KYOBO,2024-01,31,ETS 토익기출 파트별 VOCA,ETS,YBM,외국어
KYOBO,2024-01,32,"푸바오, 언제나 사랑해",에버랜드 동물원,시공주니어,시/에세이
KYOBO,2024-01,33,흔한남매 과학 탐험대 0: 과학의 기초,흔한남매,주니어김영사,어린이(초등)
KYOBO,2024-01,34,원씽(The One Thing)(60만 부 기념 스페셜 에디션),게리 켈러 외,비즈니스북스,자기계발
KYOBO,2024-01,35,읽으면서 바로 써먹는 어린이 세계 여행,한날,파란정원,어린이(초등)
KYOBO,2024-01,36,내가 생각한 인생이 아니야,류시화,수오서재,시/에세이
KYOBO,2024-01,37,맡겨진 소녀,클레어 키건,다산책방,소설
KYOBO,2024-01,38,나는 배당투자로 매일 스타벅스 커피를 공짜로 마신다,송민섭(수페TV),21세기북스,경제/경영
KYOBO,2024-01,39,시대예보: 핵개인의 시대(10만 부 기념 스페셜 에디션),송길영,교보문고,경제/경영
KYOBO,2024-01,40,하는 일마다 잘되리라,전승환,북로망스,시/에세이
KYOBO,2024-01,41,황금종이 1,조정래,해냄출판사,소설
KYOBO,2024-01,42,타키 포오 코믹 어드벤처 4,캐릭온TV,대원키즈,어린이(초등)
KYOBO,2024-01,43,더 마인드(10만부 기념 코멘터리 북),하와이 대저택,웅진지식하우스,자기계발
KYOBO,2024-01,44,부의 추월차선(10주년 스페셜 에디션),엠제이 드마코,토트,경제/경영
KYOBO,2024-01,45,트러스트,에르난 디아스,문학동네,소설
KYOBO,2024-01,46,사람과 돈이 따르는 센스 있는 3초 표현,아소 사이카,아이템하우스,자기계발
KYOBO,2024-01,47,기분이 태도가 되지 말자,김수현,하이스트,시/에세이
KYOBO,2024-01,48,바다가 들리는 편의점,마치다 소노코,모모,소설
KYOBO,2024-01,49,토익 단기공략 750+(LC+RC),ETS,YBM,외국어
KYOBO,2024-01,50,레버리지,롭 무어,다산북스,경제/경영
KYOBO,2024-01,51,아주 작은 습관의 힘,제임스 클리어,비즈니스북스,자기계발
KYOBO,2024-01,52,자본주의,EBS 자본주의 제작팀,가나출판사,경제/경영
KYOBO,2024-01,53,메리골드 마음 사진관,윤정은,북로망스,소설
KYOBO,2024-01,54,도파민네이션,애나 렘키,흐름출판,인문
KYOBO,2024-01,55,사는 동안 한 번은 팔아봐라,서과장,마인드셋,경제/경영
KYOBO,2024-01,56,인간 실격,다자이 오사무,민음사,소설
KYOBO,2024-01,57,최소한의 한국사(10만 부 기념 청자 에디션),최태성,프런트페이지,역사/문화
KYOBO,2024-01,58,요즘 어른을 위한 최소한의 세계사,임소미,빅피시,역사/문화
KYOBO,2024-01,59,AI 2024 트렌드&활용백과,김덕진,스마트북스,경제/경영
KYOBO,2024-01,60,물고기는 존재하지 않는다,룰루 밀러,곰출판,과학
KYOBO,2024-01,61,메리골드 마음 세탁소(30만 부 기념 한정 플라워 에디션),윤정은,북로망스,소설
KYOBO,2024-01,62,부자 아빠 가난한 아빠 1(20주년 특별 기념판),로버트 기요사키,민음인,경제/경영
KYOBO,2024-01,63,느리게 나이 드는 습관,정희원,한빛라이프,건강
KYOBO,2024-01,64,100일 아침 습관의 기적,켈리 최,다산북스,자기계발
KYOBO,2024-01,65,결국 해내는 사람들의 원칙,앨런 피즈 외,반니,자기계발
KYOBO,2024-01,66,하와이 대저택 100일 미라클,하와이 대저택,메가스터디북스,자기계발
KYOBO,2024-01,67,김미경의 마흔 수업(확장판),김미경,어웨이크북스,자기계발
KYOBO,2024-01,68,해커스 일본어 첫걸음: 기초20일 독학 완성!,해커스 일본어연구소,해커스어학연구소,외국어
KYOBO,2024-01,69,사랑인 줄 알았는데 부정맥,전국유로실버타운협회,포레스트북스,시/에세이
KYOBO,2024-01,70,타이탄의 도구들(블랙 에디션),팀 페리스,토네이도,자기계발
KYOBO,2024-01,71,작별하지 않는다,한강,문학동네,소설
KYOBO,2024-01,72,아무도 늙지 않는 세상,라정찬,쌤앤파커스,건강
KYOBO,2024-01,73,데일 카네기 자기관리론(국내최초 초판 무삭제 완역본),데일 카네기,현대지성,자기계발
KYOBO,2024-01,74,당신은 결국 무엇이든 해내는 사람(10만 부 기념 특별 리커버 에디션),김상현,필름(Feelm),시/에세이
KYOBO,2024-01,75,해커스 토익 RC Reading(리딩) 기본서,David Cho,해커스어학연구소,외국어
KYOBO,2024-01,76,김재우의 영어회화 100,김재우,상상스퀘어,외국어
KYOBO,2024-01,77,오늘도 딴생각에 빠진 당신에게,홋타 슈고,밀리언서재,자기계발
KYOBO,2024-01,78,각각의 계절,권여선,문학동네,소설
KYOBO,2024-01,79,불멸의 지혜,윌러스 델로이드 와틀즈,스노우폭스북스,경제/경영
KYOBO,2024-01,80,사장학개론,김승호,스노우폭스북스,경제/경영
KYOBO,2024-01,81,손실 없는 투자 원칙,남석관,모루,경제/경영
KYOBO,2024-01,82,오십에 읽는 주역,강기진,유노북스,인문
KYOBO,2024-01,83,영어필사 100일의 기적,퍼포먼스 코치 리아,넥서스,외국어
KYOBO,2024-01,84,빨간내복야코 1,빨간내복야코,샌드박스스토리,어린이(초등)
KYOBO,2024-01,85,이기적 유전자,리처드 도킨스,을유문화사,과학
KYOBO,2024-01,86,이주하는 인류,샘 밀러,미래의창,역사/문화
KYOBO,2024-01,87,사랑에 관한 거의 모든 기술,김달,빅피시,시/에세이
KYOBO,2024-01,88,지적 대화를 위한 넓고 얕은 지식 1,채사장,웨일북(whalebooks),인문
