date,raanking,title,writer,press,kategorie
202307,5,역행자 확장판,자청 저,웅진지식하우스,자기계발
202308,5,도둑맞은 집중력,요한 하리 저/김하현 역,어크로스,인문
202309,5,도둑맞은 집중력,요한 하리 저/김하현 역,어크로스,인문
202310,5,도시와 그 불확실한 벽,무라카미 하루키 저/홍은주 역,문학동네,소설/시/희곡
202311,5,세이노의 가르침,세이노(SayNo) 저,데이원,자기계발
202312,5,트렌드 코리아 2024,"김난도,전미영,최지혜,이수진,권정윤,한다혜,이준영,이향은,이혜원,추예린,전다현 공저",미래의창,경제 경영
202203,5,웰씽킹 WEALTHINKING,켈리 최 저,다산북스,자기계발
202204,5,작별인사,김영하 저,복복서가,국내도서-소설/시/희곡
202205,5,내가 틀릴 수도 있습니다 (토마스 산체스 에디션),비욘 나티코 린데블라드 저/토마스 산체스 그림/박미경 역,다산초당,국내도서-인문
202206,5,기분을 관리하면 인생이 관리된다,김다슬 저,클라우디아,국내도서-에세이
202207,5,계속 가보겠습니다,임은정 저,메디치미디어,국내도서-사회 정치
202208,5,헤어질 결심 각본,"정서경,박찬욱 공저",을유문화사,국내도서-예술
202209,5,설민석의 한국사 대모험 22,"설민석,스토리박스 글/정현희 그림/강석화 감수",단꿈아이,국내도서-어린이
202210,5,세상에서 가장 쉬운 본질육아,지나영,21세기북스,국내도서-가정 살림
202211,5,조국의 법고전 산책,조국 저,오마이북,국내도서-인문
202212,5,불편한 편의점,김호연 저,나무옆의자,국내도서-소설/시/희곡
202402,6,ETS 토익 정기시험 기출문제집 1000 Vol. 4 RC,ETS 저,YBM(와이비엠),국어 외국어 사전
202401,6,ETS 토익 정기시험 기출문제집 1000 Vol. 4 LC,ETS 저,YBM(와이비엠),국어 외국어 사전
202301,6,아버지의 해방일지,정지아 저,창비,소설/시/희곡
202302,6,슬램덩크 신장재편판 1,"이노우에 타케히코 글,그림",대원,만화/라이트노벨
202303,6,[예스리커버] 사이토 히토리의 1퍼센트 부자의 법칙,사이토 히토리 저,나비스쿨(NAVI SCHOOL),자기계발
202304,6,사장학개론,김승호 저,스노우폭스북스,경제 경영
202305,6,메리골드 마음 세탁소,윤정은 저,북로망스,소설/시/희곡
202306,6,사장학개론,김승호 저,스노우폭스북스,경제 경영
202307,6,꿀벌의 예언 1,베르나르 베르베르 저/전미연 역,열린책들,소설/시/희곡
202308,6,이토록 공부가 재미있어지는 순간,박성혁 저,다산북스,청소년
202309,6,오늘도 나아가는 중입니다 (겨울 에디션),조민 저,참새책방,에서이
202310,6,도둑맞은 집중력,요한 하리 저/김하현 역,어크로스,인문
202311,6,퓨처 셀프,벤저민 하디 저/최은아 역,상상스퀘어,자기계발
202312,6,퓨처 셀프,벤저민 하디 저/최은아 역,상상스퀘어,자기계발
202203,6,설민석의 한국사 대모험 20,"설민석,스토리박스 글/정현희 그림/강석화 감수",아이휴먼,어린이
202204,6,운명을 바꾸는 부동산 투자 수업 (기초편),부동산읽어주는남자(정태익)) 저,리더스북,국내도서-경제 경영
202205,6,역행자,자청 저,웅진지식하우스,국내도서-자기계발
202206,6,설민석의 한국사 대모험 21,"설민석,스토리박스 글/정현희 그림/강석화 감수",단꿈아이,국내도서-어린이
202207,6,입지 센스,훨훨(박성혜) 저,다산북스,국내도서-경제 경영
202208,6,불편한 편의점,김호연 저,나무옆의자,국내도서-소설/시/희곡
202209,6,데뷔 못 하면 죽는 병 걸림 1부 초판 한정 굿즈박스 세트,백덕수 저,위시북스,국내도서-소설/시/희곡
202210,6,불편한 편의점 2,김호연 저,나무옆의자,국내도서-소설/시/희곡
202211,6,이은경쌤의 초등어휘일력 365,이은경 저,포레스트북스,국내도서-가정 살림
